,sepal_length,sepal_width,petal_length,petal_width,class
0,0.2222222222222221,0.625,0.06779661016949151,0.04166666666666667,0
1,0.16666666666666674,0.41666666666666674,0.06779661016949151,0.04166666666666667,0
2,0.11111111111111116,0.5,0.05084745762711865,0.04166666666666667,0
3,0.08333333333333326,0.45833333333333326,0.0847457627118644,0.04166666666666667,0
4,0.19444444444444442,0.6666666666666667,0.06779661016949151,0.04166666666666667,0
5,0.3055555555555556,0.7916666666666665,0.11864406779661013,0.125,0
6,0.08333333333333326,0.5833333333333333,0.06779661016949151,0.08333333333333333,0
7,0.19444444444444442,0.5833333333333333,0.0847457627118644,0.04166666666666667,0
8,0.0277777777777779,0.375,0.06779661016949151,0.04166666666666667,0
9,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.0,0
10,0.3055555555555556,0.7083333333333333,0.0847457627118644,0.04166666666666667,0
11,0.13888888888888884,0.5833333333333333,0.1016949152542373,0.04166666666666667,0
12,0.13888888888888884,0.41666666666666674,0.06779661016949151,0.0,0
13,0.0,0.41666666666666674,0.01694915254237289,0.0,0
14,0.4166666666666665,0.8333333333333333,0.033898305084745756,0.04166666666666667,0
15,0.38888888888888884,1.0,0.0847457627118644,0.125,0
16,0.3055555555555556,0.7916666666666665,0.05084745762711865,0.125,0
17,0.2222222222222221,0.625,0.06779661016949151,0.08333333333333333,0
18,0.38888888888888884,0.7499999999999998,0.11864406779661013,0.08333333333333333,0
19,0.2222222222222221,0.7499999999999998,0.0847457627118644,0.08333333333333333,0
20,0.3055555555555556,0.5833333333333333,0.11864406779661013,0.04166666666666667,0
21,0.2222222222222221,0.7083333333333333,0.0847457627118644,0.125,0
22,0.08333333333333326,0.6666666666666667,0.0,0.04166666666666667,0
23,0.2222222222222221,0.5416666666666665,0.11864406779661013,0.16666666666666669,0
24,0.13888888888888884,0.5833333333333333,0.15254237288135591,0.04166666666666667,0
25,0.19444444444444442,0.41666666666666674,0.1016949152542373,0.04166666666666667,0
